2016-7-5,28,32,5,28
2016-7-6,28,37,8,27
2016-7-7,27,42,10,27
2016-7-8,27,38,3,28
2016-7-9,28,28,3,29
2016-7-10,29,25,8,31
2016-7-11,31,22,11,30
2016-7-12,30,26,11,27
2016-7-13,27,30,11,23
2016-7-14,23,23,6,22
2016-7-15,22,20,8,22
2016-7-16,22,27,6,27
2016-7-17,27,22,6,28
2016-7-18,28,16,8,29
2016-7-19,29,20,6,29
2016-7-20,29,26,16,32
2016-7-21,32,20,8,27
2016-7-22,27,27,8,27
2016-7-23,27,31,11,24
2016-7-24,24,30,6,26
2016-7-25,26,22,5,29
2016-7-26,29,21,5,30
2016-7-27,30,24,5,31
2016-7-28,31,23,5,31
2016-7-29,31,21,8,31
2016-7-30,31,25,14,29
2016-7-31,29,27,13,26
2016-8-1,26,28,6,27
2016-8-2,27,25,5,29
2016-8-3,29,21,5,29
2016-8-4,29,22,13,29
2016-8-5,29,34,6,27
2016-8-6,27,20,6,27
2016-8-7,27,23,5,28
2016-8-8,28,23,6,29
2016-8-9,29,26,6,29
2016-8-10,29,35,13,23
2016-8-11,23,20,6,24
2016-8-12,24,33,6,26
2016-8-13,26,28,6,27
2016-8-14,27,22,6,27
2016-8-15,27,28,10,28
2016-8-16,28,28,11,28
2016-8-17,28,22,8,26
2016-8-18,26,30,6,27
2016-8-19,27,28,10,27
2016-8-20,27,34,13,27
2016-8-21,27,37,6,25
2016-8-22,25,29,3,28
2016-8-23,28,30,6,29
2016-8-24,29,22,8,28
2016-8-25,28,17,8,28
2016-8-26,28,27,5,28
2016-8-27,28,30,8,29
2016-8-28,29,26,6,28
2016-8-29,28,28,6,28
2016-8-30,28,35,8,26
2016-8-31,26,36,6,27
2016-9-1,27,33,8,28
2016-9-2,28,30,3,27
2016-9-3,27,25,5,28
2016-9-4,28,23,6,29
2016-9-5,29,20,5,31
2016-9-6,31,17,5,31
2016-9-7,31,18,8,31
2016-9-8,31,24,6,26
2016-9-9,26,29,6,24
2016-9-10,24,29,3,26
2016-9-11,26,33,5,26
2016-9-12,26,32,6,26
2016-9-13,26,60,18,20
2016-9-14,20,48,13,16
2016-9-15,16,49,11,14
2016-9-16,14,43,5,19
2016-9-17,19,48,5,19
2016-9-18,19,38,3,18
2016-9-19,18,38,2,18
2016-9-20,18,34,5,22
2016-9-21,22,31,6,21
2016-9-22,21,29,3,20
2016-9-23,20,30,2,21
2016-9-24,21,35,3,21
2016-9-25,21,39,5,22
2016-9-26,22,42,3,22
2016-9-27,22,32,5,22
2016-9-28,22,44,8,21
2016-9-29,21,44,5,19
2016-9-30,19,41,5,20
2016-10-1,20,34,10,21
2016-10-2,21,38,5,19
2016-10-3,19,38,3,21
2016-10-4,21,35,3,21
2016-10-5,21,37,3,21
2016-10-6,21,29,6,22
2016-10-7,22,24,6,20
2016-10-8,20,21,3,19
2016-10-9,19,38,3,19
2016-10-10,19,36,5,19
2016-10-11,19,35,8,17
2016-10-12,17,95,6,12
2016-10-13,12,87,14,13
2016-10-14,13,76,13,14
2016-10-15,14,62,3,13
2016-10-16,13,56,3,15
2016-10-17,15,71,2,16
2016-10-18,16,72,2,17
2016-10-19,17,87,2,17
2016-10-20,17,90,2,17
2016-10-21,17,82,2,15
2016-10-22,15,94,5,16
2016-10-23,16,91,14,13
2016-10-24,13,90,6,13
2016-10-25,13,75,5,16
2016-10-26,16,66,2,19
2016-10-27,19,59,2,20
2016-10-28,20,74,3,18
2016-10-29,18,63,2,18
2016-10-30,18,34,0,17
2016-10-31,17,38,2,16
2016-11-1,16,59,2,13
2016-11-2,13,59,2,16
2016-11-3,16,62,2,14
2016-11-4,14,93,3,13
2016-11-5,13,96,18,12
2016-11-6,12,59,14,9
2016-11-7,9,55,8,8
2016-11-8,8,52,16,7
2016-11-9,7,74,21,10
2016-11-10,10,61,3,8
2016-11-11,8,63,0,9
2016-11-12,9,72,2,8
2016-11-13,8,65,2,12
2016-11-14,12,52,5,9
2016-11-15,9,46,5,10
2016-11-16,10,52,3,9
2016-11-17,9,61,2,11
2016-11-18,11,78,3,9
2016-11-19,9,79,3,8
2016-11-20,8,100,8,8
2016-11-21,8,83,19,11
2016-11-22,11,84,3,7
2016-11-23,7,78,5,7
2016-11-24,7,78,5,7
2016-11-25,7,95,6,4
2016-11-26,4,99,6,7
2016-11-27,7,90,5,9
2016-11-28,9,65,8,11
2016-11-29,11,73,2,9
2016-11-30,9,72,13,12
2016-12-1,12,79,10,10
2016-12-2,10,80,2,11
2016-12-3,11,85,3,8
2016-12-4,8,95,11,10
2016-12-5,10,76,5,12
2016-12-6,12,72,3,11
2016-12-7,11,85,2,9
2016-12-8,9,78,2,9
2016-12-9,9,74,3,10
2016-12-10,10,79,3,11
2016-12-11,11,80,2,9
2016-12-12,9,95,2,8
2016-12-13,8,95,3,7
2016-12-14,7,89,3,7
2016-12-15,7,92,3,8
2016-12-16,8,94,8,7
2016-12-17,7,68,16,10
2016-12-18,10,60,14,8
2016-12-19,8,58,11,8
2016-12-20,8,68,2,5
2016-12-21,5,62,3,8
2016-12-22,8,71,0,8
2016-12-23,8,73,2,9
2016-12-24,9,66,3,8
2016-12-25,8,80,2,7
2016-12-26,7,60,0,8
2016-12-27,8,45,0,9
2016-12-28,9,50,2,9
2016-12-29,9,64,2,7
2016-12-30,7,51,0,5
2016-12-31,5,96,3,-1
2017-1-1,-1,84,2,1
2017-1-2,1,78,3,2
2017-1-3,2,75,2,7
2017-1-4,7,86,3,7
2017-1-5,7,96,2,8
2017-1-6,8,56,3,6
2017-1-7,6,59,2,4
2017-1-8,4,56,2,6
2017-1-9,6,59,2,7
2017-1-10,7,61,10,8
2017-1-11,8,57,6,11
2017-1-12,11,83,6,8
2017-1-13,8,46,16,8
2017-1-14,8,52,3,4
2017-1-15,4,55,14,6
2017-1-16,6,53,11,7
2017-1-17,7,41,10,7
2017-1-18,7,28,8,1
2017-1-19,1,43,11,2
2017-1-20,2,62,16,6
2017-1-21,6,56,13,7
2017-1-22,7,58,2,4
2017-1-23,4,54,3,6
2017-1-24,6,52,3,6
2017-1-25,6,54,3,4
2017-1-26,4,69,2,3
2017-1-27,3,95,6,5
2017-1-28,5,65,18,7
2017-1-29,7,100,3,6
2017-1-30,6,95,13,10
2017-1-31,10,81,3,11
2017-2-1,11,93,2,7
2017-2-2,7,92,16,9
2017-2-3,9,80,27,9
2017-2-4,9,91,32,11
2017-2-5,11,57,37,7
2017-2-6,7,57,23,11
2017-2-7,11,82,14,9
2017-2-8,9,44,10,6
2017-2-9,6,58,2,6
2017-2-10,6,75,5,3
2017-2-11,3,92,6,6
2017-2-12,6,90,11,8
2017-2-13,8,78,21,10
2017-2-14,10,75,2,7
2017-2-15,7,62,6,9
